course_id,course_code,course_title,course_credits,course_grade,course_gpa,course_points,CGPA,comments
21495,CMPS3012,MANAGEMENT INFORMATION SYSTEM,3,F,0,0,3,REPEAT
21517,CMPS3272,SYSTEMS ENGINEERING,3,D+,1.5,4.5,3,REPEAT
21539,MATH2201,CALCULUS II,3,C+,2.5,7.5,3,
21561,CMPS3131,ADVANCED GUI PROGRAMMING,3,D+,1.5,4.5,3,REPEAT
21583,CMPS3232,SYSTEMS ADMINISTRATION,3,C+,2.5,7.5,3,
21605,MGMT466,PUBLIC ADMINISTRATION & POLICY,3,B+,3.5,10.5,3,
21627,MGMT475,PRODUCTION & OPERATIONS MANAGEMENT,3,A-,3.75,11.25,3,
21649,FNAN332,FINANCIAL MANAGEMENT,3,C+,2.5,7.5,3,
21671,MATH340,BUSINESS CALCULUS,3,C+,2.5,7.5,3,
21693,ECON433,MANAGERIAL ECONOMICS,3,C+,2.5,7.5,3,
21715,ACTG303,PRINCIPLES OF MANAGERIAL ACCOUNTING,3,B+,3.5,10.5,3,
21737,MGMT320,INTERNATIONAL BUSINESS,3,B,3,9,3,
